"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 04 01:13:02 GMT 2024","Sun Feb 04 01:13:08 GMT 2024","5897","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"failed","Sun Feb 04 01:14:38 GMT 2024","Sun Feb 04 01:14:38 GMT 2024","2","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:13:42 GMT 2024","Sun Feb 04 01:13:51 GMT 2024","8566","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"passed","Sun Feb 04 01:13:59 GMT 2024","Sun Feb 04 01:14:00 GMT 2024","1119","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"failed","Sun Feb 04 01:13:54 GMT 2024","Sun Feb 04 01:13:54 GMT 2024","603","","","","","","Validate Council Output [PortsmouthCityCouncil-http://selenium:4444-local]",""
"failed","Sun Feb 04 01:14:14 GMT 2024","Sun Feb 04 01:16:25 GMT 2024","131246","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"passed","Sun Feb 04 01:14:12 GMT 2024","Sun Feb 04 01:14:13 GMT 2024","1032","","","","","","Validate Council Output [SouthGloucestershireCouncil-None-None]",""
"failed","Sun Feb 04 01:13:00 GMT 2024","Sun Feb 04 01:13:01 GMT 2024","194","","","","","","Validate Council Output [CalderdaleCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:14:21 GMT 2024","Sun Feb 04 01:14:25 GMT 2024","4107","","","","","","Validate Council Output [SouthOxfordshireCouncil-None-None]",""
"failed","Sun Feb 04 01:13:55 GMT 2024","Sun Feb 04 01:13:55 GMT 2024","3","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:13:43 GMT 2024","Sun Feb 04 01:13:50 GMT 2024","7212","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"passed","Sun Feb 04 01:13:27 GMT 2024","Sun Feb 04 01:13:31 GMT 2024","4023","","","","","","Validate Council Output [ManchesterCityCouncil-None-None]",""
"failed","Sun Feb 04 01:14:25 GMT 2024","Sun Feb 04 01:14:26 GMT 2024","844","","","","","","Validate Council Output [SouthTynesideCouncil-None-None]",""
"failed","Sun Feb 04 01:13:01 GMT 2024","Sun Feb 04 01:13:01 GMT 2024","199","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:14:39 GMT 2024","Sun Feb 04 01:14:45 GMT 2024","6529","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
"passed","Sun Feb 04 01:13:51 GMT 2024","Sun Feb 04 01:13:52 GMT 2024","1280","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Sun Feb 04 01:13:42 GMT 2024","Sun Feb 04 01:13:43 GMT 2024","1424","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"passed","Sun Feb 04 01:13:52 GMT 2024","Sun Feb 04 01:13:54 GMT 2024","1726","","","","","","Validate Council Output [NorthSomersetCouncil-None-None]",""
"passed","Sun Feb 04 01:14:15 GMT 2024","Sun Feb 04 01:14:26 GMT 2024","11029","","","","","","Validate Council Output [TestValleyBoroughCouncil-None-None]",""
"passed","Sun Feb 04 01:14:00 GMT 2024","Sun Feb 04 01:14:02 GMT 2024","1790","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"passed","Sun Feb 04 01:14:35 GMT 2024","Sun Feb 04 01:14:39 GMT 2024","4112","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"failed","Sun Feb 04 01:13:21 GMT 2024","Sun Feb 04 01:13:21 GMT 2024","2","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:13:16 GMT 2024","Sun Feb 04 01:13:33 GMT 2024","16639","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:13:55 GMT 2024","Sun Feb 04 01:14:00 GMT 2024","5168","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"passed","Sun Feb 04 01:13:03 GMT 2024","Sun Feb 04 01:13:09 GMT 2024","5849","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"failed","Sun Feb 04 01:13:15 GMT 2024","Sun Feb 04 01:13:15 GMT 2024","3","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:14:09 GMT 2024","Sun Feb 04 01:14:12 GMT 2024","2220","","","","","","Validate Council Output [SouthCambridgeshireCouncil-None-None]",""
"passed","Sun Feb 04 01:13:01 GMT 2024","Sun Feb 04 01:13:07 GMT 2024","5703","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"failed","Sun Feb 04 01:14:02 GMT 2024","Sun Feb 04 01:14:02 GMT 2024","197","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"failed","Sun Feb 04 01:13:07 GMT 2024","Sun Feb 04 01:13:08 GMT 2024","1287","","","","","","Validate Council Output [BromleyBoroughCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:14:04 GMT 2024","Sun Feb 04 01:14:08 GMT 2024","3872","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Sun Feb 04 01:13:24 GMT 2024","Sun Feb 04 01:13:32 GMT 2024","7926","","","","","","Validate Council Output [LancasterCityCouncil-None-None]",""
"failed","Sun Feb 04 01:14:34 GMT 2024","Sun Feb 04 01:14:35 GMT 2024","51","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:13:13 GMT 2024","Sun Feb 04 01:13:16 GMT 2024","3404","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"passed","Sun Feb 04 01:13:54 GMT 2024","Sun Feb 04 01:13:55 GMT 2024","786","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"failed","Sun Feb 04 01:13:34 GMT 2024","Sun Feb 04 01:13:36 GMT 2024","1769","","","","","","Validate Council Output [NewarkAndSherwoodDC-None-None]",""
"passed","Sun Feb 04 01:14:10 GMT 2024","Sun Feb 04 01:14:21 GMT 2024","10269","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
